"Bundesländer","Total (Prozent an Gesamt BRD)","Universität, Total (Prozent an Bundesland)","Fachhochschule, Total 
(Prozent an Bundesland)","Außeruniversitäre Forschungseinrichtung und Andere, Total (Prozent an Bundesland)"
"Baden-Württemberg","31 (20,39 %)","18 (58,06 %)","8 (25,81 %)","5 (16,13 %)"
"Bayern","20 (13,16 %)","13 (65,00 %)","4 (20,00 %)","3 (15,00 %)"
"Berlin","12 (7,89 %)","6 (50,00 %)","1 (8,33 %)","5 (41,67 %)"
"Brandenburg","11 (7,24 %)","4 (36,36 %)","3 (27,27 %)","4 (36,36 %)"
"Bremen","2 (1,32 %)","1 (50,00 %)","0 (0,00 %)","1 (50,00 %)"
"Hamburg","5 (3,29 %)","3 (60,00 %)","0 (0,00 %)","2 (40,00 %)"
"Hessen","7 (4,61 %)","5 (71,43 %)","1 (14,29 %)","1 (14,29 %)"
"Niedersachsen","12 (7,89 %)","6 (50,00 %)","2 (16,67 %)","4 (33,33 %)"
"Nordrhein-Westfalen","29 (19,08 %)","14 (48,28 %)","7 (24,14 %)","8 (27,59 %)"
"Rheinland-Pfalz","4 (2,63 %)","4 (100,00 %)","0 (0,00 %)","0 (0,00 %)"
"Saarland","3 (1,97 %)","2 (66,67 %)","0 (0,00 %)","1 (33,33 %)"
"Sachsen","8 (5,26 %)","6 (75,00 %)","1 (12,50 %)","1 (12,50 %)"
"Sachsen-Anhalt","2 (1,32 %)","1 (50,00 %)","0 (0,00 %)","1 (50,00 %)"
"Schleswig-Holstein","4 (2,63 %)","1 (25,00 %)","0 (0,00 %)","3 (75,00 %)"
"Thüringen","2 (1,32 %)","2 (100,00 %)","0 (0,00 %)","0 (0,00 %)"
"Gesamt BRD","152 (100 %)","86 (56,58 %)","27 (17,76 %)","39 (25,66 %)"
