text,id,language,score,score_nor,score_category
"     ...ich schlimme Folgen für die Verlage und Autoren befürchte. Warum sollen unter der Prämisse ""Freie Bildung für alle"" immer nur die Urheber und Verlage ihren unentgeltlichen Beitrag leisten? Jeder Handwerker, der an einer Uni oder Hochschule etwas arbeitet, bekommt selbstverständlich seinen Lohn. Für jegliche Ausstattung an den Unis (Möbel, Computer, sonstige Technik...) wird selbstverständlich bezahlt. Jede Verwaltungskraft an der Uni/Hochschule bekommt einen Lohn für ihren Beitrag zum Bildungssystem in Deutschland. Niemand hinterfragt dies (und das ist richtig so). Warum aber sollen nur die Urheber und ihre Verlage leer ausgehen? ""Freie Bildung für alle"" nur auf ihrem Rücken ohne finanziellen Ausgleich? Dies ist ein fataler Fehler.",1,de,0.5619397685185185,0.06193976851851846,positiv
"     Das höchste Gut des Menschen ist Bildung und Freiheit, das muss bewahrt werden.",2,de,0.9084251,0.4084251,positiv
"     Publikationen ideelles Eigentum sind, und Eigentum gehört geschützt.",3,de,0.542297735,0.042297735,positiv
     eine Abkehr davon die Basis für Autoren und Verlage entzieht.,4,de,0.56716935,0.06716935000000002,positiv
     immer weniger gute und orginelle aber nicht unbedingt mainsteamfähige Autoren und Wissenschaftler eine Chance für die Veröffentlichung Ihrer Ideen in Buchform haben werden.,5,de,0.5663299130434785,0.06632991304347846,positiv
     sie für die Wissenschaftslandschaft von existentieller Bedeutung ist.,6,de,0.59109985,0.09109984999999998,positiv
     eine Einschränkung undemoktatisch und ein bildungskulturelles Desaster wäre.,7,de,0.25819295,-0.24180705000000002,negativ
"     das Erstellen eines Lehrbuches für Studierende eine wissenschaftliche Leistung ist , die nicht nur meiner uneingeschränkten Wissenschaftsfreiheit unterliegt, sondern auch den entsprechenden Respekt vor meiner geistigen Leistung erfordert. Ihr Schutz ist Ausdruck ihres Wertes. Stelle ich diesen in Frage, nage ich an den Grundlagen der Wissenschaftsfreiheit und sende - vor allem Studierenden - das Signal, dass diese Literatur nicht besonders wichtig ist. Das greift den Kern wissenschaftlichen Arbeitens an.",8,de,0.613094515151515,0.11309451515151503,positiv
     aus oben genannten Gründen!,9,de,0.55447905,0.05447904999999997,positiv
"     die Existenzsicherung auch kleiner Verlage, die oft Unbequemes, Unbotmäßiges und von den Herrschenden Unerwünschtes der Öffentlichkeit zugänglich machen, gesichert werden muss. Die Existenz auch kritischer Verlage ist eine wesentliche Voraussetzung für den freien demokratischen Meinungsaustausch, der durch Entzug der materiellen Grundlage der Verlage gefährdet ist.",10,de,0.722222222222222,0.222222222222222,positiv
     ich selbst frei schreiben möchte - und das Recht der freien Meinungsäußerung als hohes Gut einer Demokratie ehre,11,de,1,0.5,positiv
"     die Leistung von wissenschaftlichen Autoren entsprechend gewürdigt werden muss. Nur eine vielfältige Bildungsmedienlandschaft garantiert, dass den an Lehrkräfte herangetragenen Herausforderungen adäquat begegnet werden kann. Wir müssen diese Auswahlmöglichkeiten bewahren und Innovationen im Medienbereich unterstützen - aber auch schützen.",12,de,0.6740565675675675,0.1740565675675675,positiv
"     der DPB ist als Patientenselbsthilfeorganisation von Menschen mit Schuppenflechte der Haut und der Gelenke mit seinem PSO Magazin selber verlegerisch tätig ist. Ohne Freiheit und Verbreitung des Wortes ist eine publizisitsche Unterstützung von Menschen mit der schicksalsbedingten, lebenlangen Erkrankung Schuppenlechte nur im Interesse dieser Menschen unabhänig und transparent nicht möglich. Wer die partnerschaftliche Entscheidungsfindung in der gesundheitlichen Versorgung postuliert, muss auch Sorge dafür tragen, dass Quellenvielfalt sowie unabhäniger und freier Zugang  zu Quellen gewährleistet bleiben.  ",13,de,0.47907377333333334,-0.02092622666666666,negativ
     Ich selbst freie Autorin bin und nich lange bleiben möchte.,14,de,0.33951529999999996,-0.16048470000000004,negativ
